"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"7599","32","text","0","7602","0.0-0.0","","1476462072375","","","","","","","","","","","","","",""
"4150","32","text","1","12057","0.0-1.0","","1476462072375","","","","","","","","","","","","","",""
"2063","32","text","2","14423","0.0-2.0","","1476462072375","","","","","","","","","","","","","",""
"32926","32","text","3","47651","0.0-3.0","","1476462072375","","","","","","","","","","","","","",""
"34291","32","text","4","82244","0.0-4.0","","1476462072375","","","","","","","","","","","","","",""
"32111","32","text","5","114658","0.0-5.0","","1476462072375","","","","","","","","","","","","","",""
"106550","","singlestim-multislider","6","221523","0.0-6.0-0.0","","1476462072375","0","25","75","","","","","","","","","","",""
"73340","","survey-text","7","295171","0.0-7.0","","1476462072375","","","","{""Q0"":""B. The computer would be able to notice the pattern of opposites in the two people.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"6525","","survey-multi-choice","8","302003","0.0-8.0","","1476462072375","","","","{""Q0"":""agree""}","","","","","","","","","",""
"59987","","singlestim-multislider","9","362301","0.0-9.0-14.0","","1476462072375","0","20","80","","","0","12","9","7","5","0.6","0.8","1","1"
